Name,Screen_Name,Total_Score,Retweet_Avg,Reply_Avg,Like_Avg,Quote_Avg
MaryElizabethColeman,meaccoleman,11.71,0.74,6.77,0.64,3.56
Mike Cierpiot,MikeCierpiot,3.34,0.21,1.15,0.55,1.43
Dan Shaul,DanShaulMO,4.16,1.14,0.79,0.54,1.69
Phil Christofanelli,phlchristo,17.45,2.62,3.58,2.94,8.31
Rep. Vicky Hartzler,RepHartzler,49.5,7.6,25.15,2.75,14.0
Rep Rasheen Aldridge. Jr (He/Him),RepSheenBean,9.86,3.06,1.38,2.74,2.68
Mike McGirl,mmcgirl1,0.89,0.03,0.13,0.06,0.67
Rep. Emanuel Cleaver,repcleaver,15.52,6.53,2.44,1.95,4.6
Rick Brattin,RickBrattin,7.54,1.17,2.9,0.61,2.86
Jill Schupp,JillSchupp,14.34,4.83,0.9,2.28,6.33
Jered Taylor,Jered_Taylor,11.96,1.3,2.37,0.85,7.44
Paul Wieland,WielandNow,5.41,0.81,1.01,0.52,3.07
Rob Vescovo,RobVescovo,14.74,3.08,2.15,2.74,6.77
Mark Ellebracht,MarkEllebracht,2.46,0.45,0.31,0.32,1.38
Nick Marshall,nickmarshall30,1.24,0.23,0.17,0.08,0.76
Rep. Ashley Aune,Ashley4MO,15.42,5.94,1.65,3.42,4.41
Dave Schatz,DaveSchatzMO,18.47,2.0,3.52,1.43,11.52
Lincoln Hough,lincolnhough,3.24,0.51,0.78,1.47,0.48
Mike Moon,realmikemoon,6.17,0.46,1.63,0.23,3.85
Donna Baringer,STLDonnaB,2.87,0.43,0.37,0.45,1.62
Jerome Barnes,RepBarn28,0.34,0.2,0.07,0.07,0.0
Rory Rowland,RoryRowland,0.02,0.0,0.02,0.0,0.0
Josh Hurlbert,JoshHurlbert,1.55,0.13,0.31,0.44,0.67
Sonya Anderson,SonyaAndersonMO,0.83,0.33,0.33,0.17,0.0
Chris Dinkins,cdinkins,6.1,1.66,1.0,0.41,3.03
Ron Hicks,RNHCKS,1.4,0.53,0.38,0.35,0.14
Angela Walton Mosley,SenAngelaMosley,0.83,0.23,0.12,0.24,0.24
Rep. Sam Graves,RepSamGraves,35.9,5.46,15.88,1.92,12.64
Holly Rehder,hrehder,5.4,0.63,1.51,1.06,2.2
Gretchen Bangert,gretchenbangert,1.74,1.19,0.12,0.43,0.0
"Senator Denny Hoskins, CPA",DLHoskins,8.47,0.96,1.14,0.49,5.88
Ingrid Burnett,Ingridburnett,1.92,0.6,0.21,0.25,0.86
State Represntative Jay Mosley,JayMo_stl68,0.27,0.08,0.11,0.08,0.0
Delus Johnson,Delus,0.25,0.21,0.03,0.01,0.0
Dirk Deaton,DirkEDeaton,2.74,0.55,0.5,0.54,1.15
Rep. Derek Grier,DerekGrier,6.72,0.74,2.03,0.67,3.28
Sarah Unsicker,SarahUnsicker,17.8,6.91,1.98,3.55,5.36
Greg Razer,gregrazer,13.5,4.19,1.08,3.23,5.0
Senator Roy Blunt,RoyBlunt,51.78,4.67,26.91,2.97,17.23
Adam Schwadron,AJSchwadron,2.78,0.46,0.77,0.29,1.26
Annette Turnbaugh,AnnetteTforMO,0.03,0.0,0.0,0.03,0.0
Eric Burlison,EricBurlison,12.5,1.92,3.11,2.06,5.41
Caleb Rowden,calebrowden,31.79,3.59,7.61,3.12,17.47
Travis Fitzwater 🇺🇸,travisfitzwater,2.84,0.5,0.44,0.79,1.11
