Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SS,Ed Howard (22904312),Ed Howard,22904312,SS,2000,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
SS,Kevin Made (22904332),Kevin Made,22904332,SS,2000,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
SS,Cristian Hernandez (22904372),Cristian Hernandez,22904372,SS,2000,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
SS,Freddy Zamora (22904376),Freddy Zamora,22904376,SS,2000,MIL@CHC 06/01/2022 08:05PM ET,MIL,0
SS,Brice Turang (22904430),Brice Turang,22904430,SS,2000,MIL@CHC 06/01/2022 08:05PM ET,MIL,0
SS,Reginald Preciado (22904464),Reginald Preciado,22904464,SS,2000,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
SS,Jheremy Vargas (22904503),Jheremy Vargas,22904503,SS,2000,MIL@CHC 06/01/2022 08:05PM ET,MIL,0
SS,James Triantos (22904529),James Triantos,22904529,SS,2000,MIL@CHC 06/01/2022 08:05PM ET,CHC,0
SS,Joseph Ortiz (22904344),Joseph Ortiz,22904344,SS,2000,SEA@BAL 06/01/2022 07:05PM ET,BAL,0
SS,Edwin Arroyo (22904379),Edwin Arroyo,22904379,SS,2000,SEA@BAL 06/01/2022 07:05PM ET,SEA,0
SS,Adam Hall (22904413),Adam Hall,22904413,SS,2000,SEA@BAL 06/01/2022 07:05PM ET,BAL,0
SS,Jordan Westburg (22904420),Jordan Westburg,22904420,SS,2000,SEA@BAL 06/01/2022 07:05PM ET,BAL,0
SS,Gunnar Henderson (22904462),Gunnar Henderson,22904462,SS,2000,SEA@BAL 06/01/2022 07:05PM ET,BAL,0
SS,Maikol Hernandez (22904504),Maikol Hernandez,22904504,SS,2000,SEA@BAL 06/01/2022 07:05PM ET,BAL,0
SS,Noelvi Marte (22904543),Noelvi Marte,22904543,SS,2000,SEA@BAL 06/01/2022 07:05PM ET,SEA,0
SS,Jordan Groshans (22904325),Jordan Groshans,22904325,SS,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
SS,Leonardo Jimenez (22904342),Leonardo Jimenez,22904342,SS,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
SS,Laz Rivera (22904362),Laz Rivera,22904362,SS,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
SS,Colson Montgomery (22904390),Colson Montgomery,22904390,SS,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
SS,Rikelbin De Castro (22904411),Rikelbin De Castro,22904411,SS,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
SS,Logan Warmoth (22904418),Logan Warmoth,22904418,SS,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
SS,Yolbert Sanchez (22904441),Yolbert Sanchez,22904441,SS,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
SS,Manuel Beltre (22904448),Manuel Beltre,22904448,SS,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
SS,Orelvis Martinez (22904482),Orelvis Martinez,22904482,SS,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
SS,Matt McLain (22904326),Matt McLain,22904326,SS,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
SS,Cameron Cannon (22904370),Cameron Cannon,22904370,SS,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
SS,Leonardo Rivas (22904371),Leonardo Rivas,22904371,SS,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
SS,Marcelo Mayer (22904414),Marcelo Mayer,22904414,SS,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
SS,Jeter Downs (22904423),Jeter Downs,22904423,SS,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
SS,Brainer Bonaci (22904463),Brainer Bonaci,22904463,SS,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
SS,Allen Cordoba (22904502),Allen Cordoba,22904502,SS,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
SS,Matthew Lugo (22904536),Matthew Lugo,22904536,SS,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
SS,Cam Cauley (22904298),Cam Cauley,22904298,SS,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
SS,Carlos Colmenares (22904324),Carlos Colmenares,22904324,SS,2000,TB@TEX 06/01/2022 08:05PM ET,TB,0
SS,Pedro Martinez (22904391),Pedro Martinez,22904391,SS,2000,TB@TEX 06/01/2022 08:05PM ET,TB,0
SS,Greg Jones (22904488),Greg Jones,22904488,SS,2000,TB@TEX 06/01/2022 08:05PM ET,TB,0
SS,Carson Williams (22904489),Carson Williams,22904489,SS,2000,TB@TEX 06/01/2022 08:05PM ET,TB,0
SS,Trey Sweeney (22904292),Trey Sweeney,22904292,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
SS,Anthony Volpe (22904296),Anthony Volpe,22904296,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
SS,Arol Vera (22904337),Arol Vera,22904337,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
SS,Alexander Vargas (22904401),Alexander Vargas,22904401,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
SS,Oswald Peraza (22904415),Oswald Peraza,22904415,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
SS,Jeremiah Jackson (22904450),Jeremiah Jackson,22904450,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
SS,Kyren Paris (22904459),Kyren Paris,22904459,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
SS,Denzer Guzman (22904501),Denzer Guzman,22904501,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
SS,Livan Soto (22904542),Livan Soto,22904542,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
SS,Kevin Maitan (22904546),Kevin Maitan,22904546,SS,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
SS,Trei Cruz (22904317),Trei Cruz,22904317,SS,2000,MIN@DET 06/01/2022 07:10PM ET,DET,0
SS,Kevin Merrell (22904318),Kevin Merrell,22904318,SS,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
SS,Wander Javier (22904330),Wander Javier,22904330,SS,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
SS,Ryan Kreidler (22904340),Ryan Kreidler,22904340,SS,2000,MIN@DET 06/01/2022 07:10PM ET,DET,0
SS,Cristian Santana (22904351),Cristian Santana,22904351,SS,2000,MIN@DET 06/01/2022 07:10PM ET,DET,0
SS,Tim Beckham (22904406),Tim Beckham,22904406,SS,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
SS,Abel Bastidas (22904460),Abel Bastidas,22904460,SS,2000,MIN@DET 06/01/2022 07:10PM ET,DET,0
SS,Noah Miller (22904474),Noah Miller,22904474,SS,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
SS,Liover Peguero (22904320),Liover Peguero,22904320,SS,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
SS,Eddys Leonard (22904359),Eddys Leonard,22904359,SS,2000,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
SS,Maikol Escotto (22904382),Maikol Escotto,22904382,SS,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
SS,Wilman Diaz (22904388),Wilman Diaz,22904388,SS,2000,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
SS,Leonel Valera (22904408),Leonel Valera,22904408,SS,2000,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
SS,Jacob Amaya (22904458),Jacob Amaya,22904458,SS,2000,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
